Token Symbol,Discord URL
SHIB,https://discord.com/invite/shibatoken
ETC,https://discord.com/invite/hQs894U
LEO,https://discord.com/invite/leonidasfinance
IMX,https://discord.com/invite/TUa8a9A
APT,https://discord.com/invite/aptosnetwork
APT,https://discord.com/invite/C6JrtqZF5U
RNDR,https://discord.com/invite/rendernetwork
CRO,https://discord.com/invite/pahqHz26q4
GRT,https://discord.com/invite/W8K48gYW2U
THETA,https://discord.com/invite/QfMpeZBfKB
MNT,https://discord.com/invite/0xMantle
TIA,https://discord.com/invite/YsnTPcSfWQ
ARB,https://discord.com/invite/arbitrum
ARB,https://discord.com/invite/M4F8RKqgce
ARB,https://discord.com/invite/5KE54JwyTs
SEI,https://discord.com/invite/sei
BEAM,https://discord.com/invite/meritcircle
DYDX,https://discord.com/invite/dydx
STRK,https://discord.com/invite/QypNMzkHbc
MINA,https://discord.com/invite/Vexf4ED
AXS,https://discord.com/invite/axie
XTZ,https://discord.com/invite/yXaPy6s5Nr
FLR,https://discord.com/invite/flarenetwork
APE,https://discord.com/invite/2NnYMg6
APE,https://discord.com/invite/2B9tHUTV
SNX,https://discord.com/invite/vwubuCTFAN
PYTH,https://discord.com/invite/PythNetwork
CFX,https://discord.com/invite/conflux-network-707952293412339843
RON,https://discord.com/invite/roninnetwork
ROSE,https://discord.com/invite/dG6mWH4rHj
ETHDYDX,https://discord.com/invite/dydx
